Graph,Random Critical Fraction,Targeted Critical Fraction,Average Shortest Path Length,Average Clustering Coefficient,No. Connected Components
Intellifiber,0.1506849315068493,0.0958904109589041,6.32648401826484,0.08806262230919766,1
Garr201001,0.3333333333333333,0.09259259259259259,3.5506638714185885,0.056668537224092784,1
Zamren,0.3055555555555556,0.08333333333333333,5.310924369747899,0.0,2
Basnet,0.5714285714285714,0.14285714285714285,1.7142857142857142,0.0,1
Nordu1989,0.42857142857142855,0.14285714285714285,1.9047619047619047,0.0,1
JanetExternal,0.4166666666666667,0.08333333333333333,2.311111111111111,0.0,2
Gblnet,0.5,0.125,2.2142857142857144,0.0,1
Belnet2006,0.2608695652173913,0.08695652173913043,2.1462450592885376,0.7318840579710144,1
Garr201005,0.2727272727272727,0.09090909090909091,3.538720538720539,0.05543617998163453,1
Vinaren,0.08,0.08,3.216666666666667,0.03,1
Garr200908,0.2777777777777778,0.09259259259259259,3.523410202655486,0.05769734380845492,1
Garr201105,0.2711864406779661,0.05084745762711865,3.6160140268848626,0.054593241033919,1
Garr200112,0.5416666666666666,0.08333333333333333,2.4347826086956523,0.02003968253968254,1
Cesnet200706,0.4318181818181818,0.045454545454545456,2.943974630021142,0.04950305190946902,1
Cesnet200511,0.41025641025641024,0.05128205128205128,3.165991902834008,0.04448827525750603,1
GtsHungary,0.43333333333333335,0.03333333333333333,3.1839080459770117,0.0,1
Colt,0.22875816993464052,0.0457516339869281,8.345029239766081,0.03963585434173669,1
DeutscheTelekom,0.2564102564102564,0.07692307692307693,2.954022988505747,0.31945461945461945,4
Nextgen,0.5294117647058824,0.29411764705882354,3.9558823529411766,0.0,1
Cesnet2001,0.30434782608695654,0.043478260869565216,2.616600790513834,0.0,1
Intranetwork,0.1282051282051282,0.07692307692307693,6.286099865047233,0.15042735042735042,1
Airtel,0.375,0.25,2.216666666666667,0.2575892857142857,1
Rnp,0.25806451612903225,0.06451612903225806,4.440860215053763,0.0,1
DialtelecomCz,0.08290155440414508,0.04145077720207254,12.73733206389506,0.014162348877374784,56
VtlWavenet2008,0.125,0.045454545454545456,12.903343782654128,0.0,1
Biznet,0.13793103448275862,0.10344827586206896,5.586206896551724,0.0,1
HiberniaUk,0.26666666666666666,0.2,3.676190476190476,0.0,1
Azrena,0.4090909090909091,0.09090909090909091,3.311688311688312,0.0,1
Rediris,0.3684210526315789,0.21052631578947367,2.2690058479532165,0.33125996810207337,1
Garr200902,0.2777777777777778,0.09259259259259259,3.523410202655486,0.05769734380845492,1
KentmanAug2005,0.2857142857142857,0.10714285714285714,3.4444444444444446,0.021031746031746033,2
Arpanet19728,0.1724137931034483,0.13793103448275862,4.684729064039409,0.0,1
Sago,0.16666666666666666,0.05555555555555555,5.392156862745098,0.0,1
RedBestel,0.11904761904761904,0.05952380952380952,10.588640275387263,0.00873015873015873,1
Eunetworks,0.2,0.26666666666666666,2.78021978021978,0.0,2
Renater1999,0.375,0.041666666666666664,3.177536231884058,0.0,1
Kreonet,0.5384615384615384,0.07692307692307693,2.2051282051282053,0.0,1
Ernet,0.36666666666666664,0.06666666666666667,3.1241379310344826,0.017857142857142856,1
Garr201104,0.2711864406779661,0.05084745762711865,3.6019871420222094,0.051564066818304104,1
Ai3,0.6,0.1,2.111111111111111,0.0,1
Claranet,0.3333333333333333,0.13333333333333333,2.4571428571428573,0.19555555555555554,1
UniC,0.32,0.12,4.556666666666667,0.06,1
Iinet,0.3548387096774194,0.0967741935483871,2.821505376344086,0.0059139784946236566,1
Arpanet19723,0.36,0.16,4.576666666666667,0.0,1
Renater2006,0.48484848484848486,0.09090909090909091,3.102272727272727,0.2184879093970003,1
BtNorthAmerica,0.4166666666666667,0.2222222222222222,2.7222222222222223,0.3227954144620811,1
Renater2010,0.4418604651162791,0.06976744186046512,3.9302325581395348,0.17013658176448873,1
Ans,0.3888888888888889,0.2222222222222222,2.8562091503267975,0.24074074074074073,1
Packetexchange,0.42857142857142855,0.14285714285714285,3.642857142857143,0.13492063492063494,1
Arn,0.4666666666666667,0.03333333333333333,2.749425287356322,0.0,1
